Date;Case;Death;Recovered;Month;Season;Weekday;Weekend;OfficailHoliday;BusinessDay;Doses_admin;People_partially_vaccinated;People_fully_vaccinated
11.03.2020;1;0;0;3;2;1;0;0;0;0;0;0
12.03.2020;1;0;0;3;2;1;0;0;0;0;0;0
13.03.2020;5;0;0;3;2;1;0;0;0;0;0;0
14.03.2020;5;0;0;3;2;0;1;0;1;0;0;0
15.03.2020;6;0;0;3;2;0;1;0;1;0;0;0
16.03.2020;18;0;0;3;2;1;0;0;0;0;0;0
17.03.2020;47;1;0;3;2;1;0;0;0;0;0;0
18.03.2020;98;1;0;3;2;1;0;0;0;0;0;0
19.03.2020;192;3;0;3;2;1;0;0;0;0;0;0
20.03.2020;359;4;0;3;2;1;0;0;0;0;0;0
21.03.2020;670;9;0;3;2;0;1;0;1;0;0;0
22.03.2020;1236;30;0;3;2;0;1;0;1;0;0;0
23.03.2020;1529;37;0;3;2;1;0;0;0;0;0;0
24.03.2020;1872;44;0;3;2;1;0;0;0;0;0;0
25.03.2020;2433;59;26;3;2;1;0;0;0;0;0;0
26.03.2020;3629;75;26;3;2;1;0;0;0;0;0;0
27.03.2020;5698;92;42;3;2;1;0;0;0;0;0;0
28.03.2020;7402;108;70;3;2;0;1;0;1;0;0;0
29.03.2020;9217;131;105;3;2;0;1;0;1;0;0;0
30.03.2020;10827;168;162;3;2;1;0;0;0;0;0;0
31.03.2020;13531;214;243;3;2;1;0;0;0;0;0;0
1.04.2020;15679;277;333;4;2;1;0;0;0;0;0;0
2.04.2020;18135;356;415;4;2;1;0;0;0;0;0;0
3.04.2020;20921;425;484;4;2;1;0;0;0;0;0;0
4.04.2020;23934;501;786;4;2;0;1;0;1;0;0;0
5.04.2020;27069;574;1042;4;2;0;1;0;1;0;0;0
6.04.2020;30217;649;1326;4;2;1;0;0;0;0;0;0
7.04.2020;34109;725;1582;4;2;1;0;0;0;0;0;0
8.04.2020;38226;812;1846;4;2;1;0;0;0;0;0;0
9.04.2020;42282;908;2142;4;2;1;0;0;0;0;0;0
10.04.2020;47029;1006;2423;4;2;1;0;0;0;0;0;0
11.04.2020;52167;1101;2965;4;2;0;1;0;1;0;0;0
12.04.2020;56956;1198;3446;4;2;0;1;0;1;0;0;0
13.04.2020;61049;1296;3957;4;2;1;0;0;0;0;0;0
14.04.2020;65111;1403;4799;4;2;1;0;0;0;0;0;0
15.04.2020;69392;1518;5674;4;2;1;0;0;0;0;0;0
16.04.2020;74193;1643;7089;4;2;1;0;0;0;0;0;0
17.04.2020;78546;1769;8631;4;2;1;0;0;0;0;0;0
18.04.2020;82329;1890;10453;4;2;0;1;0;1;0;0;0
19.04.2020;86306;2017;11976;4;2;0;1;0;1;0;0;0
20.04.2020;90980;2140;13430;4;2;1;0;0;0;0;0;0
21.04.2020;95591;2259;14918;4;2;1;0;0;0;0;0;0
22.04.2020;98674;2376;16477;4;2;1;0;0;0;0;0;0
23.04.2020;101790;2491;18491;4;2;1;0;1;1;0;0;0
24.04.2020;104912;2600;21737;4;2;1;0;0;0;0;0;0
25.04.2020;107773;2706;25582;4;2;0;1;0;1;0;0;0
26.04.2020;110130;2805;29140;4;2;0;1;0;1;0;0;0
27.04.2020;112261;2900;33791;4;2;1;0;0;0;0;0;0
28.04.2020;114653;2992;38809;4;2;1;0;0;0;0;0;0
29.04.2020;117589;3081;44040;4;2;1;0;0;0;0;0;0
30.04.2020;120204;3174;48886;4;2;1;0;0;0;0;0;0
1.05.2020;122392;3258;53808;5;2;1;0;1;1;0;0;0
2.05.2020;124375;3336;58259;5;2;0;1;0;1;0;0;0
3.05.2020;126045;3397;63151;5;2;0;1;0;1;0;0;0
4.05.2020;127659;3461;68166;5;2;1;0;0;0;0;0;0
5.05.2020;129491;3520;73285;5;2;1;0;0;0;0;0;0
6.05.2020;131744;3584;78202;5;2;1;0;0;0;0;0;0
7.05.2020;133721;3641;82984;5;2;1;0;0;0;0;0;0
8.05.2020;135569;3689;86396;5;2;1;0;0;0;0;0;0
9.05.2020;137115;3739;89480;5;2;0;1;0;1;0;0;0
10.05.2020;138657;3786;92691;5;2;0;1;0;1;0;0;0
11.05.2020;139771;3841;95780;5;2;1;0;0;0;0;0;0
12.05.2020;141475;3894;98889;5;2;1;0;0;0;0;0;0
13.05.2020;143114;3952;101715;5;2;1;0;0;0;0;0;0
14.05.2020;144749;4007;104030;5;2;1;0;0;0;0;0;0
15.05.2020;146457;4055;106133;5;2;1;0;0;0;0;0;0
16.05.2020;148067;4096;108137;5;2;0;1;0;1;0;0;0
17.05.2020;149435;4140;109962;5;2;0;1;0;1;0;0;0
18.05.2020;150593;4171;111577;5;2;1;0;0;0;0;0;0
19.05.2020;151615;4199;112895;5;2;1;0;1;1;0;0;0
